OrderDate,Region,Rep,Item,Units,Unit Cost
1/6/19,East,Jones,Pencil,95, 1.99 
1/23/19,Central,Kivell,Binder,50, 19.99 
2/9/19,Central,Jardine,Pencil,36, 4.99 
2/26/19,Central,Gill,Pen,27, 19.99 
3/15/19,West,Sorvino,Pencil,56, 2.99 
4/1/19,East,Jones,Binder,60, 4.99 
4/18/19,Central,Andrews,Pencil,75, 1.99 
5/5/19,Central,Jardine,Pencil,90, 4.99 
5/22/19,West,Thompson,Pencil,32, 1.99 
6/8/19,East,Jones,Binder,60, 8.99 
6/25/19,Central,Morgan,Pencil,90, 4.99 
7/12/19,East,Howard,Binder,29, 1.99 
7/29/19,East,Parent,Binder,81, 19.99 
8/15/19,East,Jones,Pencil,35, 4.99 
9/1/19,Central,Smith,Desk,2, 125.00 
9/18/19,East,Jones,Pen Set,16, 15.99 
10/5/19,Central,Morgan,Binder,28, 8.99 
10/22/19,East,Jones,Pen,64, 8.99 
11/8/19,East,Parent,Pen,15, 19.99 
11/25/19,Central,Kivell,Pen Set,96, 4.99 
12/12/19,Central,Smith,Pencil,67, 1.29 
12/29/19,East,Parent,Pen Set,74, 15.99 
1/15/20,Central,Gill,Binder,46, 8.99 
2/1/20,Central,Smith,Binder,87, 15.00 
2/18/20,East,Jones,Binder,4, 4.99 
3/7/20,West,Sorvino,Binder,7, 19.99 
3/24/20,Central,Jardine,Pen Set,50, 4.99 
4/10/20,Central,Andrews,Pencil,66, 1.99 
4/27/20,East,Howard,Pen,96, 4.99 
5/14/20,Central,Gill,Pencil,53, 1.29 
5/31/20,Central,Gill,Binder,80, 8.99 
6/17/20,Central,Kivell,Desk,5, 125.00 
7/4/20,East,Jones,Pen Set,62, 4.99 
7/21/20,Central,Morgan,Pen Set,55, 12.49 
8/7/20,Central,Kivell,Pen Set,42, 23.95 
8/24/20,West,Sorvino,Desk,3, 275.00 
9/10/20,Central,Gill,Pencil,7, 1.29 
9/27/20,West,Sorvino,Pen,76, 1.99 
10/14/20,West,Thompson,Binder,57, 19.99 
10/31/20,Central,Andrews,Pencil,14, 1.29 
11/17/20,Central,Jardine,Binder,11, 4.99 
12/4/20,Central,Jardine,Binder,94, 19.99 
12/21/20,Central,Andrews,Binder,28, 4.99 
